FAENA,CONDUCTOR,VEHICULO,FECHA,HORA,TURNO,TIPO,Detected type,Duration (sec),VELOCIDAD,Distance covered (metres),SUB TIPO,LATITUD ,LONGITUD
VAR,,1240 - GWKL16,1/15/2020,01:45:31,Noche,Distracción,Distracción,"3,09",83.00,71.00,conducción distraída,-33.379505,-70.648027
VAR,,1650- LLWZ31,1/15/2020,02:19:12,Noche,Distracción,Distracción,"3,22",84.00,75.00,conducción distraída,-33.561341,-71.559403
VAR,,1650- LLWZ31,1/15/2020,20:32:15,Noche,Distracción,Distracción,"3,55",88.00,87.00,conducción distraída,-33.371621,-70.669776
VAR,,1650- LLWZ31,1/15/2020,01:59:42,Noche,Distracción,Distracción,"3,46",89.00,86.00,conducción distraída,-33.651851,-71.291869
VAR,,1671- LRTK88,1/16/2020,04:10:01,Noche,Distracción,Fatiga,"2,59",22.00,16.00,conducción distraída,-33.593051,-71.614788
VAR,,1650- LLWZ31,1/16/2020,00:52:36,Noche,Distracción,Fatiga,"2,44",34.00,23.00,conducción distraída,-33.366990,-70.498435
VAR,,1671- LRTK88,1/16/2020,10:58:28,Día,Distracción,Distracción,"3,44",38.00,37.00,conducción distraída,-33.388432,-70.756851
VAR,,1650- LLWZ31,1/16/2020,12:39:29,Día,Distracción,Distracción,"3,11",38.00,33.00,conducción distraída,-33.148779,-70.689482
VAR,,1240 - GWKL16,1/16/2020,00:23:36,Noche,Distracción,Distracción,"3,30",42.00,38.00,conducción distraída,-33.166154,-70.333991
VAR,,1240 - GWKL16,1/16/2020,01:44:12,Noche,Distracción,Distracción,"3,13",43.00,37.00,conducción distraída,-33.366952,-70.512668
VAR,,1240 - GWKL16,1/16/2020,02:06:16,Noche,Distracción,Distracción,"3,61",53.00,53.00,conducción distraída,-33.388670,-70.756458
VAR,,1650- LLWZ31,1/16/2020,05:08:28,Noche,Distracción,Distracción,"3,29",90.00,83.00,conducción distraída,-33.700949,-70.976703
VAR,,1650- LLWZ31,1/16/2020,05:20:34,Noche,Distracción,Distracción,"3,11",90.00,78.00,conducción distraída,-33.591641,-70.844433
VAR,,1240 - GWKL16,1/16/2020,16:43:47,Día,Distracción,Distracción,"3,15",95.00,83.00,conducción distraída,-33.373588,-70.719953
VAR,,1670 - LRTK87,1/17/2020,23:49:57,Noche,Distracción,Mirada ausente,"3,33",37.00,34.00,conducción distraída,-33.319444,-70.361111
VAR,,1670 - LRTK87,1/17/2020,13:34:14,Día,Distracción,Mirada ausente,"3,13",38.00,33.00,conducción distraída,-33.153889,-70.674444
VAR,,1559 - KVWX88 (M DE F),1/17/2020,14:05:58,Día,Distracción,Mirada ausente,"4,30",42.00,50.00,conducción distraída,-33.371667,-70.709167
VAR,,1240 - GWKL16,1/17/2020,01:47:48,Noche,Distracción,Distracción,"3,02",62.00,52.00,conducción distraída,-33.389073,-70.632451
VAR,,1555 - KVWX83(M DE F),1/17/2020,10:51:32,Día,Distracción,Mirada ausente,"3,36",66.00,61.00,conducción distraída,-33.323333,-70.719722
VAR,,1555 - KVWX83(M DE F),1/17/2020,14:05:44,Día,Distracción,Mirada ausente,"3,99",77.00,85.00,conducción distraída,-33.382222,-70.755000
VAR,,1672 - LRTK89,1/17/2020,12:36:48,Día,Distracción,Mirada ausente,"3,13",84.00,73.00,conducción distraída,-33.355000,-70.705556
VAR,,1560 - KVWX89(M DE F),1/17/2020,15:47:09,Día,Distracción,Mirada ausente,"3,47",89.00,86.00,conducción distraída,-33.428056,-70.784167
VAR,,1671- LRTK88,1/17/2020,13:44:50,Día,Distracción,Distracción,"3,50",90.00,87.00,conducción distraída,-33.809895,-70.749550
VAR,,1368 - HWVV83,1/18/2020,14:28:58,Día,Distracción,Fatiga,"4,31",23.00,27.00,conducción distraída,-33.148333,-70.286389
VAR,,1650- LLWZ31,1/18/2020,00:33:34,Noche,Distracción,Distracción,"3,92",36.00,40.00,conducción distraída,-33.367646,-70.500366
VAR,,1655- LLWZ25,1/19/2020,04:14:11,Noche,Distracción,Distracción,"3,52",37.00,36.00,conducción distraída,-33.363402,-70.384921
VAR,,1670 - LRTK87,1/20/2020,16:01:35,Día,Distracción,Ojos cerrados,"3,64",33.00,33.00,conducción distraída,-33.148056,-70.695833
VAR,,1670 - LRTK87,1/20/2020,16:01:52,Día,Distracción,Ojos cerrados,"3,22",34.00,30.00,conducción distraída,-33.148611,-70.694444
VAR,,1670 - LRTK87,1/20/2020,16:02:16,Día,Distracción,Ojos cerrados,"3,54",34.00,33.00,conducción distraída,-33.149722,-70.692222
VAR,,1650- LLWZ31,1/20/2020,12:44:44,Día,Distracción,Distracción,"3,68",42.00,43.00,conducción distraída,-33.155945,-70.650375
VAR,,1242 - GWKL18,1/20/2020,14:48:45,Día,Distracción,Fatiga,"1,72",86.00,41.00,notificación de conducir distraído,-33.362778,-70.701944
VAR,,1240 - GWKL16,1/20/2020,12:17:08,Día,Distracción,Distracción,"3,20",87.00,77.00,conducción distraída,-33.303233,-70.728395
VAR,,1240 - GWKL16,1/20/2020,12:17:13,Día,Distracción,Distracción,"3,31",87.00,80.00,conducción distraída,-33.302619,-70.728674
VAR,,1650- LLWZ31,1/20/2020,09:49:08,Día,Distracción,Distracción,"3,50",88.00,86.00,conducción distraída,-33.205005,-70.665371
VAR,,1671- LRTK88,1/20/2020,11:40:14,Día,Distracción,Distracción,"3,13",90.00,78.00,conducción distraída,-33.658508,-70.716434
VAR,,1651 - LPBX91,1/20/2020,12:16:02,Día,Distracción,Distracción,"3,42",90.00,86.00,conducción distraída,-33.257432,-70.748948
VAR,,1368 - HWVV83,1/21/2020,17:34:23,Día,Distracción,Fatiga,"1,80",40.00,20.00,conducción distraída,-33.364444,-70.477778
VAR,,1657 - LLWZ34,1/21/2020,13:57:36,Día,Distracción,Fatiga,"1,93",81.00,44.00,conducción distraída,-33.287611,-70.735711
